"","Date","EntryTime","ExitTime","Direction","EntryPrice","ExecEntryPrice","ExitPrice","ExecExitPrice","StopPrice","R","Shares","NotionalPosition","MarginUsed","GrossPnL","Commission","NetPnL","ExitReason","CapitalBefore","CapitalAfter","R_Multiple"
"53",18625,2020-12-29 14:35:00,2020-12-29 14:55:00,"Long",314.587188,314.60360899254,313.75,313.740758337495,313.75,0.837188000000026,905,284701.40514,28470.140514,-780.879842816453,1.81,-782.689842816453,"SL",75843.0243476921,75060.3345048757,-1.03304234538213
"54",18626,2020-12-30 14:35:00,2020-12-30 20:55:00,"Short",313.589996,313.580219001197,312.880004,312.923464365128,314.440002,0.850006000000008,883,276899.966468,27689.9966468,579.914343648597,1.766,578.148343648597,"Timed",75060.3345048757,75638.4828485243,0.770294134475075
"55",18627,2020-12-31 14:35:00,2020-12-31 14:35:00,"Short",312.75,312.72407575449,313.089996,313.124215179901,313.089996,0.339995999999985,2224,695556,69555.6,-889.910082115451,4.448,-894.358082115451,"SL",75638.4828485243,74744.1247664088,-1.18277693093931
"56",18631,2021-01-04 14:35:00,2021-01-04 20:55:00,"Short",314.359985,314.334394475167,309.220001,309.246818364905,315.25,0.890015000000005,839,263748.027415,26374.8027415,4268.47635651032,1.678,4266.79835651032,"Timed",74744.1247664088,79010.9231229192,5.71403415702272
"57",18632,2021-01-05 14:35:00,2021-01-05 20:55:00,"Long",309.369995,309.390009179169,311.7872,311.773854409918,308.290008,1.07998700000002,731,226149.466345,22614.9466345,1742.59086367759,1.462,1741.12886367759,"Timed",79010.9231229192,80752.0519865968,2.20543879764207
"58",18633,2021-01-06 14:35:00,2021-01-06 14:40:00,"Short",306.279998,306.272004075795,307.690002,307.70036288637,307.690002,1.41000400000001,572,175192.158856,17519.2158856,-817.021239649155,1.144,-818.165239649155,"SL",80752.0519865968,79933.8867469476,-1.01443599491592
"59",18634,2021-01-07 14:35:00,2021-01-07 20:55:00,"Long",311.399993,311.408973715117,315.049987,315.040893733198,310.25,1.149993,695,216422.995135,21642.2995135,2524.18441256666,1.39,2522.79441256666,"Timed",79933.8867469476,82456.6811595143,3.15647140294032
"60",18635,2021-01-08 14:35:00,2021-01-08 15:25:00,"Long",317.394714,317.408847666976,316.529998,316.519716814682,316.529998,0.864716000000044,953,302477.162442,30247.7162442,-847.341702236387,1.906,-849.247702236387,"SL",82456.6811595143,81607.4334572779,-1.03054743094168
"61",18638,2021-01-11 14:35:00,2021-01-11 15:05:00,"Short",315,314.979276634778,316.209991,316.222583298753,316.209991,1.209991,674,212310,21231,-837.988691518751,1.348,-839.336691518751,"SL",81607.4334572779,80768.0967657591,-1.02918671624368
"62",18639,2021-01-12 14:35:00,2021-01-12 14:45:00,"Long",315.149993,315.177110097188,314.329986,314.304253971454,314.329986,0.820006999999976,984,310107.593112,31010.7593112,-858.89042772205,1.968,-860.85842772205,"SL",80768.0967657591,79907.2383380371,-1.06688860672386
"63",18640,2021-01-13 14:35:00,2021-01-13 14:35:00,"Long",314.459991,314.500774120728,314.119995,314.099630313075,314.119995,0.339995999999985,2350,738980.97885,73898.097885,-942.687947982813,4.7,-947.387947982813,"SL",79907.2383380371,78959.8503900543,-1.18573103110707
"64",18641,2021-01-14 14:35:00,2021-01-14 14:45:00,"Long",316.720001,316.733229887012,316.149993,316.121258362026,316.149993,0.57000800000003,1385,438657.201385,43865.7201385,-847.580562106737,2.77,-850.350562106737,"SL",78959.8503900543,78109.4998279475,-1.07712790870792
"65",18642,2021-01-15 14:35:00,2021-01-15 15:00:00,"Long",314.5,314.512853002636,313.890014,313.878858106773,313.890014,0.609985999999992,1280,402560,40256,-811.513466705073,2.56,-814.073466705073,"SL",78109.4998279475,77295.4263612425,-1.04263851279103
"66",18646,2021-01-19 14:35:00,2021-01-19 14:45:00,"Long",314.720001,314.742249227949,314.079986,314.069175959178,314.079986,0.640015000000005,1207,379867.041207,37986.7041207,-812.399435406484,2.414,-814.813435406484,"SL",77295.4263612425,76480.612925836,-1.05477726111248
"67",18647,2021-01-20 14:35:00,2021-01-20 20:55:00,"Long",320.309997,320.321472845193,323.765014,323.749624386849,319.769989,0.540008,1416,453558.955752,45355.8955752,4854.26258298466,2.832,4851.43058298466,"Timed",76480.612925836,81332.0435088206,6.34463108260588
